【方案E】E|週日渡海錯峰版,"把北九州日改壓週日(唐戶馬関街週日8:00-15:00時窗最寬、皿倉山週日照常夜營到22:00),空出的週六拿去太宰府+福岡市美術館「金土夜間開館」紅利——給想錯開人潮、三大硬點仍全中的另一種日序解。",,,
◆ 規劃理由,"北九州壓週日有三個理由:一、唐戶馬関街週日8:00-15:00時窗最寬,10時過後抵達仍遠早於正午人峰,容錯比週六(10:00才開攤)大得多;二、皿倉山纜車4-10月每日夜營至22:00、週日接駁巴士全天行駛,且隔天是上班日、山頂夜景人潮通常比週六鬆;三、空出的週六正好吃到福岡市美術館「金・土夜間開館至20:00」——這是其他日序拿不到的紅利。週六太宰府的人潮解法是07:30出門、10點人湧前已躲進九博;當天嚴守「太宰府早場+美術館夜場」雙錨,中段回飯店午休、百貨壓縮成75分鐘的岩田屋B2伴手禮戰,不再多主軸硬趕。避熱邏輯:每天11:00-16:00都在冷氣裡(九博/海響館/teamLab與アジア美術館),戶外集中在清晨與日落後,高溫時段的點對點移動一律用計程車取代曝曬步行。中洲屋台週日多休、週一有開,一蘭演舞+屋台之夜順勢落在最後一晚,看完步行幾分鐘回飯店收行李。",,,
◆ 建議住宿,"建議住「中洲川端」:夾在博多(JR北九州日)與天神(西鉄太宰府日)正中間各1站,一蘭總本店與屋台步行2-5分,去機場地鐵直達——本方案的總移動成本最低。首選:1) ザ ロイヤルパーク キャンバス 福岡中洲(2023年開幕設計系、大浴場+三溫暖、那珂川河畔,看完演舞與屋台走2分回房泡湯);2) ホテルオークラ福岡(中洲川端站直結,與福岡アジア美術館「同棟」——本方案8/10下午的美術館就在樓下,零曝曬);3) 若想把「JR日早出+最快去機場+泡湯」放最大,改選博多站直結的都ホテル博多(全室30㎡以上、頂樓天然溫泉)。8/7-8/8是暑假週末,6月現在就該訂房。",,,
◆ 一蘭表演,"排 8/10(一)。理由:8/9(日)從皿倉山回到博多已約22:35,趕不上20:00場;8/8(六)傍晚押在福岡市美術館金土夜間開館(看展到19:15後還要晚餐),趕20:00場太緊;而中洲屋台多數週日休、週一有開——週一「Canal City晚餐19:25結束→19:40前店前站定→20:00-20:15和楽団演舞→中洲屋台宵夜→那珂川河畔散步」是研究指出的天作之合動線,又是最後一晚,看完步行回中洲川端飯店收行李最順。注意:官方頁面掛有「人手不足暫時休演」舊公告(2026年1月仍有旅客目擊演出),出發前1-2週務必查一蘭官網/官方X再確認。",,,
日期,時段,安排,交通,備註/理由
8/7(五),,▍當日主軸:抵達福岡・中洲川端入住・附近輕鬆覓食,,
,20:00-21:00,福岡機場(國際線)入境、通關、領行李,,"依航班20:00落地,約21:00出航廈;先在機場領好網卡/換錢"
,21:00-21:30,前往中洲川端飯店,"計程車約15-20分(約¥2,500-3,000);省錢替代:國際線→國內線免費接駁+地鐵空港線至中洲川端,合計約35-45分","夜間帶行李建議直接計程車,一段到位"
,21:30-23:00,Check-in+飯店周邊輕鬆覓食,徒步2-5分,"選項:中洲屋台(週五營業至深夜)、川端通商店街周邊、或24小時的一蘭總本店先吃一碗暖身(表演留到8/10晚)。今晚早睡,明早要早起去太宰府"
8/8(六),,▍當日主軸:太宰府避暑早場 → 午休充電 → 福岡市美術館夜間開館(本日序獨家紅利),,
,07:30-08:45,前往太宰府,"地鐵中洲川端→天神約3分+天神地下街步行8-10分至西鉄福岡(天神)駅;西鉄急行→二日市轉太宰府線約30-40分,單程¥480(可買含梅ヶ枝餅券的太宰府散策きっぷ);門到門約70分","從中洲川端出發門到門實際約70分,07:30出門、08:40-08:45抵達即可——星巴克8:00已開、かさの家9:00才開,晚一點到完全不影響9:30九博進場,照表走不用趕"
